---Settings being used---
Namespace(input_size=2, hidden_size=2, num_layers=1, train_size=250, test_size=100, lr=0.05, epochs=1000, runs=5, patience=30, batch_size=250, dropout=0.0, weight_decay=0.0, m=100, k=10000, noise_size=1, model='rlc', dataset='sin', OOD=False)
-------------------------
Creating training data
torch.Size([250, 2]) torch.Size([250, 1])
Ratio  +/-:	 tensor(0.4320, dtype=torch.float64)
Creating validation data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.4400, dtype=torch.float64)
Creating test data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.5700, dtype=torch.float64)
Constant classifier: 0.57
0 ==	 Loss:	 0.7643283009529114 LR:	 [0.049999753260397316] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 30 0.7899999618530273
1 ==	 Loss:	 0.749424934387207 LR:	 [0.04999913641550001] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 29 0.7899999618530273
2 ==	 Loss:	 0.7420271635055542 LR:	 [0.04999827284165407] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 28 0.7899999618530273
3 ==	 Loss:	 0.737464427947998 LR:	 [0.04999716254738256] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 27 0.7899999618530273
4 ==	 Loss:	 0.7344608306884766 LR:	 [0.04999580554364363] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 26 0.7899999618530273
5 ==	 Loss:	 0.7315585017204285 LR:	 [0.04999420184383034] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 25 0.7899999618530273
6 ==	 Loss:	 0.729642927646637 LR:	 [0.04999235146377055] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7199999690055847 Patience:	 24 0.7899999618530273
7 ==	 Loss:	 0.728208065032959 LR:	 [0.04999025442172672] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 23 0.7899999618530273
8 ==	 Loss:	 0.7269185185432434 LR:	 [0.049987910738395834] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 22 0.7899999618530273
9 ==	 Loss:	 0.7256191372871399 LR:	 [0.04998532043690905] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 21 0.7899999618530273
10 ==	 Loss:	 0.7247116565704346 LR:	 [0.04998248354283159] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 20 0.7899999618530273
11 ==	 Loss:	 0.7240122556686401 LR:	 [0.04997940008416244] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 19 0.7899999618530273
12 ==	 Loss:	 0.7230942249298096 LR:	 [0.049976070091334056] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 18 0.7899999618530273
13 ==	 Loss:	 0.7221387624740601 LR:	 [0.04997249359721215] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 17 0.7899999618530273
14 ==	 Loss:	 0.721418023109436 LR:	 [0.04996867063709519] Train acc:	 0.656000018119812 Val acc:	 0.7699999809265137 Test acc:	 0.7299999594688416 Patience:	 16 0.7899999618530273
15 ==	 Loss:	 0.7208091020584106 LR:	 [0.04996460124871427] Train acc:	 0.64000004529953 Val acc:	 0.7599999904632568 Test acc:	 0.7099999785423279 Patience:	 15 0.7899999618530273
16 ==	 Loss:	 0.7200132012367249 LR:	 [0.04996028547223258] Train acc:	 0.6160000562667847 Val acc:	 0.7400000095367432 Test acc:	 0.6599999666213989 Patience:	 14 0.7899999618530273
17 ==	 Loss:	 0.7195034623146057 LR:	 [0.049955723350245104] Train acc:	 0.5840000510215759 Val acc:	 0.75 Test acc:	 0.6100000143051147 Patience:	 13 0.7899999618530273
18 ==	 Loss:	 0.7183544039726257 LR:	 [0.049950914927778096] Train acc:	 0.5360000133514404 Val acc:	 0.6499999761581421 Test acc:	 0.550000011920929 Patience:	 12 0.7899999618530273
19 ==	 Loss:	 0.7175630331039429 LR:	 [0.04994586025228872] Train acc:	 0.5200000405311584 Val acc:	 0.6399999856948853 Test acc:	 0.5099999904632568 Patience:	 11 0.7899999618530273
20 ==	 Loss:	 0.716564953327179 LR:	 [0.0499405593736646] Train acc:	 0.492000013589859 Val acc:	 0.6100000143051147 Test acc:	 0.4899999797344208 Patience:	 10 0.7899999618530273
